[14,11] [35,63]|(1 [-17,39,-48] [-50,-8,-34]);(2 [-76,48,86] [76,-62,-88]);(3 [9,98,-47] [-52,60,67]);(4 [99,2,77] [-79,94,37]);(5 [-32,-43,77] [-60,96,82]);(6 [75,-69,-40] [-11,31,-11]);(7 [-96,81,39] [6,-17,-10])
[64,76] [23,49]|(1 [-47,-39,-61] [21,-84,52]);(2 [61,58,98] [-36,62,27]);(3 [13,-50,-72] [9,26,-6]);(4 [-84,-46,23] [8,74,62]);(5 [99,71,62] [76,66,42]);(6 [84,17,24] [-79,-2,-8]);(7 [-71,-52,-3] [8,-5,-49]);(8 [-56,63,-11] [68,46,100]);(9 [-81,-8,48] [-39,49,95]);(10 [28,10,-38] [76,74,63]);(11 [26,-43,-63] [-82,60,33]);(12 [-34,49,23] [83,20,-17])
[4,1] [58,41]|(1 [50,-23,84] [4,57,-6]);(2 [-87,70,-14] [-53,-77,13]);(3 [82,84,43] [91,15,-98]);(4 [32,-23,21] [29,-8,82]);(5 [26,-19,-62] [-79,-75,-34]);(6 [31,-81,-85] [66,-6,95]);(7 [-83,-52,52] [-34,82,-33]);(8 [-16,16,14] [0,15,69]);(9 [-37,-21,-6] [21,-49,83]);(10 [-23,-82,-22] [65,9,40]);(11 [48,-56,68] [-72,-72,16]);(12 [-49,65,-63] [-17,-83,-18]);(13 [-33,-99,-39] [31,-50,62]);(14 [-64,-91,65] [1,35,43]);(15 [73,-27,-39] [43,11,4])
[12,79] [59,56]|(1 [-73,-84,-80] [-59,-58,0]);(2 [-90,50,-66] [24,-76,37]);(3 [97,95,15] [38,17,-83]);(4 [87,0,-46] [-95,30,43]);(5 [-47,76,67] [-18,53,68]);(6 [-15,83,-23] [50,27,22]);(7 [41,92,21] [0,-32,18]);(8 [7,99,47] [34,-10,-75]);(9 [90,-12,89] [86,-52,-75]);(10 [-41,-71,-10] [-79,-3,60]);(11 [-39,42,-17] [-28,35,-80]);(12 [88,-90,-75] [-84,-21,54]);(13 [19,-20,-90] [-93,86,-97]);(14 [-14,-6,-76] [70,99,17]);(15 [96,17,-76] [5,85,-18])
[97,88] [4,43]|(1 [-40,87,26] [39,57,90]);(2 [54,-56,-70] [98,-33,-38]);(3 [66,11,30] [-85,37,76]);(4 [-48,-1,-22] [-9,51,-61])
[37,24] [5,8]|(1 [72,-34,63] [70,-97,59]);(2 [14,-2,35] [13,70,44]);(3 [-14,-17,75] [-50,61,-62]);(4 [60,52,-6] [36,-34,-11]);(5 [74,72,70] [51,-10,-42])
[8,70] [5,71]|(1 [-83,26,7] [84,77,-79]);(2 [-36,-93,-72] [-68,15,-17]);(3 [90,-93,-23] [45,-38,-55])
[66,28] [25,48]|(1 [91,69,57] [-18,39,-27]);(2 [-45,78,-59] [-34,9,-99]);(3 [47,90,50] [-15,-93,-46]);(4 [-78,39,-90] [-98,32,85]);(5 [-8,3,-52] [21,-85,98]);(6 [12,-69,-24] [91,-22,88]);(7 [41,53,-38] [-98,90,-97]);(8 [-68,-34,16] [59,86,-14])
[61,68] [6,16]|(1 [74,13,-89] [-5,-7,97]);(2 [-68,-16,31] [-64,-50,72]);(3 [54,70,-92] [37,-43,36])
[99,48] [13,67]|(1 [-65,42,11] [-88,-59,84]);(2 [79,-5,-8] [74,25,-57]);(3 [-19,-70,-36] [3,31,71]);(4 [82,-75,8] [63,-58,52]);(5 [-42,-56,-93] [-72,75,77]);(6 [36,74,-2] [-46,42,70]);(7 [-41,-82,20] [99,67,-69]);(8 [-58,-71,36] [80,20,99]);(9 [29,91,85] [-80,71,-99]);(10 [87,-86,11] [4,-94,-54]);(11 [-28,54,-87] [-54,-74,46]);(12 [-33,-91,-71] [-19,25,-70]);(13 [33,17,-63] [-68,5,-12]);(14 [-84,-63,52] [-65,0,-88])
[49,49] [31,49]|(1 [-29,28,84] [-78,24,60]);(2 [43,-92,77] [39,99,-28]);(3 [49,61,-6] [-95,79,-33]);(4 [-30,23,-54] [56,-72,-78]);(5 [50,-46,6] [-67,4,-55]);(6 [63,10,-100] [-20,21,82]);(7 [24,11,-84] [35,87,-91]);(8 [-10,-69,35] [-40,12,-93])
[66,81] [44,53]|(1 [-85,-45,-57] [77,-67,36]);(2 [62,-98,-61] [80,22,80]);(3 [-59,-5,-27] [53,-63,25]);(4 [-46,-93,-52] [-33,63,70]);(5 [-86,78,-62] [25,100,60]);(6 [-35,29,34] [43,88,-97]);(7 [36,-76,-25] [64,-30,13]);(8 [-2,14,21] [-4,35,-18])
[94,91] [61,10]|(1 [-10,23,-61] [63,-34,-52]);(2 [73,-29,-10] [37,-84,-27]);(3 [-2,63,74] [50,9,22]);(4 [0,24,2] [-64,-72,2])
[56,22] [45,18]|(1 [-21,-19,-15] [-3,38,-72]);(2 [89,-19,2] [-40,-81,55]);(3 [-98,52,61] [66,-57,-61]);(4 [-53,48,35] [-85,-65,69]);(5 [21,31,56] [47,0,-20])
[0,0] [100,100]|(1 [2,3,5] [42,61,10]);(3 [5,6,6] [12,3,7]);(2 [3,2,1] [12,6,7])
[0,0] [1,1]|(1 [1,2,3] [2,3,4]);(2 [0,0,0] [100,100,100])
[99,46] [11,5]|(1 [-83,27,78] [-29,56,-15]);(2 [-4,31,6] [-62,-92,-87]);(3 [-3,60,81] [7,-48,83]);(4 [-78,-97,-61] [-72,-37,51]);(5 [-22,-93,65] [-60,-96,87]);(6 [63,91,20] [-73,49,33]);(7 [7,-40,-8] [5,-26,-33]);(8 [52,77,34] [32,9,-99]);(9 [-65,99,-93] [-31,65,60])
[33,65] [1,91]|(1 [45,-9,19] [38,-46,8]);(2 [19,49,3] [-58,-31,48]);(3 [23,26,-45] [9,-52,-48]);(4 [0,3,-16] [52,-42,1]);(5 [-54,-62,-32] [87,68,75]);(6 [4,-52,68] [59,-41,-5]);(7 [-33,3,46] [-48,-73,-31]);(8 [-67,73,4] [72,57,13])
[0,0] [1,0]|(1 [2,3,5] [42,61,10]);(2 [5,6,6] [12,3,7]);(3 [51,51,51] [101,101,101])
[33,90] [67,97]|(1 [-80,53,-52] [-63,-13,64]);(2 [60,-96,-9] [-38,71,21]);(3 [-4,11,-60] [79,-87,-100]);(4 [-82,24,64] [-23,-53,67]);(5 [-74,52,-13] [98,-87,70]);(6 [26,99,-12] [-70,49,-47]);(7 [86,26,53] [-40,21,-51]);(8 [72,20,70] [59,-40,7]);(9 [-94,20,82] [63,46,-38]);(10 [92,43,-67] [-42,-31,-6]);(11 [-22,-42,80] [-79,-55,-86]);(12 [25,57,-98] [81,-59,-35]);(13 [48,16,60] [52,37,-46]);(14 [-21,-49,42] [-69,86,-53]);(15 [38,-28,36] [11,57,-13])
